Maximum,membership,maxed_value,er_value,er_utilization,ip_value,ip_admits,primary_care_value,primary_care_utilization,specialist_value,specialist_utilization,mental_health_value,mental_health_utilization,imaging_value,imaging_utilization,speech_value,speech_utilization,occupation_physical_therapy_value,occupation_physical_therapy_utilization,preventive_care_value,preventive_care_utilization,laboratory_value,laboratory_utilization,x_rays_value,x_ray_utilization,skilled_nursing_value,skilled_nursing_utilization,generic_value,generic_utilization,preferred_value,preferred_utilization,non_preferred_value,non_preferred_utilization,specialty_value,specialty_utilization,
2000,796640,1350.0938,36.11669893,0.056450201,0.334608155,0.000295721,130.3252014,0.855770447,58.59874202,0.360359693,13.01525494,0.105218558,6.476362577,0.014161218,0.090779309,0.00095601,19.56816145,0.468765655,80.11941829,1.242007707,43.05688347,1.56560736,31.37890899,0.307977965,0,0,77.69469808,2.786556413,74.30368828,0.53769257,11.6412969,0.063228281,0.069123931,0.000660426,0.069123931
2100,779545,1401.130219,38.53644053,0.058951289,0.424018741,0.000354292,133.4875922,0.876521079,60.68439894,0.37309874,13.83691599,0.111519682,7.365310087,0.01579673,0.103943886,0.001082617,20.83701313,0.497518366,82.99539674,1.277457125,44.94907371,1.620448454,33.31412898,0.322328884,0,0,80.60171288,2.86168006,80.53301959,0.579686539,12.38733515,0.066372088,0.072326469,0.000698108,0.072326469
2200,763202,1450.882246,40.71741546,0.061128889,0.538823863,0.000426449,136.3350339,0.895255059,62.72125998,0.385681231,14.65804286,0.117678269,8.271848454,0.017447649,0.117060058,0.00119466,22.16595856,0.527296757,85.80997083,1.310461893,46.76049506,1.67102296,35.07915591,0.335470937,0,0,83.45587261,2.935568943,86.71008782,0.620866716,13.22514944,0.070071175,0.076333954,0.000763096,0.076333954
2300,747644,1499.714865,43.02733571,0.063440492,0.626866621,0.000475244,139.1007832,0.913638693,64.70346547,0.397661366,15.46186113,0.124009367,9.280057348,0.019234714,0.133862299,0.001318857,23.57766466,0.559329687,88.53200227,1.342915113,48.54812191,1.720991592,36.87810516,0.348136798,0,0,86.17410732,3.00689601,92.8139395,0.660247066,14.08013472,0.07351133,0.085486429,0.0007827,0.085486429
2400,732684,1547.492988,45.27398814,0.065559913,0.751365046,0.000546703,141.7076355,0.931054803,66.62559254,0.40911325,16.33481053,0.130918984,10.17548341,0.020878707,0.150308228,0.001509298,24.97925204,0.590654468,91.28318103,1.372634774,50.18152567,1.766773981,38.63648605,0.360488531,0,0,88.81733415,3.071115939,99.23125347,0.702233967,14.90959898,0.076755135,0.095636562,0.000823326,0.095636562
2500,718032,1594.387101,47.60044588,0.067770666,0.893056167,0.000623711,144.1789747,0.947371879,68.44271067,0.420588262,17.13101787,0.137051628,11.23575386,0.022688979,0.162591903,0.001637698,26.45286728,0.624271029,93.90891675,1.400850289,51.83181415,1.811249362,40.36171489,0.372683465,0,0,91.3288437,3.133465967,105.3892276,0.742137931,15.70800618,0.079934951,0.105005058,0.000902024,0.105005058
2600,703929,1640.396704,49.99084492,0.069862121,1.0453337,0.000705605,146.6794292,0.963851462,70.32452023,0.431750795,18.03569082,0.144151415,12.1991407,0.024309207,0.175893413,0.001762997,27.93677851,0.658180389,96.55726198,1.428960385,53.50485466,1.855537329,42.07009508,0.384818264,0,0,93.96972933,3.197279177,111.8390831,0.783836033,16.45819973,0.083051629,0.120278699,0.000987935,0.120278699
2700,689914,1685.383486,52.25730985,0.071849536,1.244787881,0.000809642,149.0237503,0.97930871,72.14764212,0.443044361,18.95134067,0.151091568,13.29159087,0.026177944,0.185265344,0.001868702,29.31840656,0.689833212,99.32604714,1.456414696,55.16722117,1.89947371,43.72067238,0.396048811,0,0,96.50448657,3.258322295,118.2513721,0.824689676,17.2629192,0.086372515,0.130151925,0.001026956,0.130151925
2800,676470,1729.509873,54.54264167,0.07382467,1.462606133,0.000913728,151.3072572,0.994436612,73.94629984,0.454153555,19.89797958,0.158136017,14.3454806,0.027932931,0.19454687,0.001970206,30.72376477,0.721205042,101.9283121,1.482877315,56.78787737,1.942140836,45.33457481,0.407352282,0,0,98.83428926,3.314898341,124.5372366,0.864718289,18.03982578,0.089466092,0.141456144,0.001072105,0.141456144
2900,663581,1772.795455,56.82979584,0.075774731,1.674361951,0.001013659,153.4729612,1.008968794,75.6352427,0.464878796,20.80985058,0.165104775,15.4484353,0.029744503,0.204363363,0.002075956,32.09099463,0.751843389,104.3784583,1.506695454,58.30150363,1.981632022,46.89394496,0.417770307,0,0,101.215325,3.369666538,130.9995651,0.905907108,18.78392923,0.092258669,0.148237932,0.001103272,0.148237932
3000,651177,1815.206555,59.04601721,0.07758103,1.918993785,0.001129742,155.500707,1.022282456,77.31675251,0.475550059,21.63033984,0.171490647,16.51546937,0.031517247,0.222255935,0.002408179,33.44883337,0.782268306,106.8531726,1.530320152,59.79983861,2.020598879,48.47139608,0.428126276,0,0,103.5175478,3.423395203,137.4473301,0.946241454,19.60190856,0.09550138,0.162628917,0.001141996,0.162628917
3100,639035,1856.8169,61.2585312,0.079474359,2.141403077,0.001228387,157.5385187,1.035850377,78.93353246,0.485649705,22.55624592,0.178617363,17.72312469,0.033493769,0.238519045,0.002546982,34.85356941,0.813482739,109.3271539,1.553477371,61.33130004,2.059802734,50.12522906,0.439050576,0,0,105.7937538,3.474722536,143.9608164,0.987426483,20.29840775,0.098201276,0.170230082,0.001151842,0.170230082
3200,627072,1897.640809,63.45745551,0.081179207,2.434204486,0.001356678,159.4343518,1.048743265,80.49555419,0.496007243,23.35661176,0.184635244,18.86745664,0.035290403,0.257836251,0.002764837,36.18393451,0.84338228,111.8022082,1.575789433,62.74376193,2.096648579,51.68664646,0.449186122,0,0,107.8546083,3.521410502,150.3328747,1.027506946,21.12912795,0.101340709,0.178987088,0.001198524,0.178987088
3300,615669,1937.659617,65.57530261,0.08283081,2.709136402,0.001477118,161.2821569,1.060904916,82.02071676,0.505608788,24.23480922,0.19131324,20.02906707,0.037103034,0.264771561,0.002857135,37.58575051,0.873775172,114.0078409,1.596848755,64.11277967,2.131983499,53.26356256,0.459384459,0,0,109.8491102,3.565234128,156.4014926,1.064517801,21.81743284,0.104019708,0.199420948,0.001267109,0.199420948
3400,604797,1977.047297,67.80008917,0.084541573,2.994847483,0.001601148,163.144221,1.073142566,83.62936861,0.516212884,25.05363026,0.197474573,21.13862612,0.038887284,0.289317251,0.003142763,38.94290757,0.904463813,116.3070098,1.61778209,65.52710966,2.167614159,54.86054081,0.469562273,0,0,111.9172485,3.611111544,162.7811972,1.103931078,22.53532472,0.106833071,0.208887868,0.001319347,0.208887868
3500,593843,2015.559538,69.82368636,0.086083862,3.300460045,0.001730926,164.8999911,1.08523939,85.0894543,0.525355901,25.93481337,0.204123084,22.25088192,0.040648524,0.297648812,0.003209059,40.32809606,0.934002848,118.4592779,1.637180368,66.93885518,2.202212801,56.27759003,0.47883663,0,0,113.8127048,3.654155547,169.2560238,1.143762481,23.37889849,0.1100382,0.216533038,0.001328115,0.216533038
3600,583246,2053.300354,71.72942001,0.087509128,3.578236525,0.001850525,166.5902422,1.096523018,86.54553191,0.535253539,26.72391465,0.210167937,23.45354183,0.042510193,0.309968695,0.003288874,41.67008607,0.963181251,120.633378,1.656351778,68.22232044,2.235211242,57.73331081,0.488119877,0,0,115.6427752,3.696080271,175.2184747,1.180526357,24.14811923,0.113011901,0.227550234,0.001342986,0.227550234
3700,573326,2090.31027,73.53318518,0.088853034,3.868626967,0.00197138,168.1234676,1.106838237,87.94059666,0.5446767,27.54925969,0.216461674,24.67300097,0.044353832,0.331432363,0.003472753,43.04427531,0.992354811,122.8249899,1.673977852,69.50843897,2.267155064,59.15978478,0.497133552,0,0,117.3592565,3.733967131,181.3192269,1.217307073,24.94814882,0.11593277,0.241534005,0.001377674,0.241534005
3800,563552,2126.726571,75.36610249,0.090142374,4.181635757,0.002098657,169.6330034,1.117143749,89.36052662,0.5540754,28.3579705,0.222700383,25.76734739,0.046012475,0.347434696,0.00362584,44.42290366,1.021291314,124.8493774,1.691298758,70.76586674,2.29803823,60.53299619,0.505760634,0,0,119.1566483,3.773339366,187.2732718,1.253289295,25.61261293,0.11844615,0.255707638,0.001411693,0.255707638
3900,554203,2162.740225,77.43568981,0.091587966,4.525174296,0.002237067,171.1270923,1.127420808,90.7538895,0.563078567,29.12685006,0.228479777,26.94077058,0.047809589,0.360352868,0.003750992,45.71332556,1.050032145,126.930208,1.708157042,71.98187342,2.328215185,61.85345843,0.514088523,0,0,120.835608,3.809977925,193.1172078,1.288542765,26.39709347,0.121294165,0.257549785,0.001419767,0.257549785
4000,544948,2197.957404,79.26820257,0.092887804,4.966841002,0.002399086,172.5438058,1.137332444,92.08932,0.571638489,29.96103214,0.234614964,28.1425956,0.049653571,0.367899747,0.00379839,47.09175156,1.079839361,128.8582777,1.724205636,73.18446791,2.358127364,63.26760007,0.522669891,0,0,122.4455032,3.846340363,198.9701566,1.324945215,27.14868121,0.123984205,0.267326297,0.001470626,0.267326297
4100,535895,2232.623967,81.13118932,0.094143094,5.277355578,0.002517954,173.8652274,1.146249312,93.42012981,0.580302855,30.88950582,0.241343022,29.29901954,0.051404516,0.390299016,0.003995508,48.43814947,1.107070998,130.7182227,1.739166563,74.39440107,2.386398728,64.62280358,0.531032511,0,0,123.9794947,3.879177915,204.6123463,1.358604163,27.82036234,0.126433953,0.280144739,0.001476663,0.280144739
4200,527149,2266.843407,83.12101205,0.095487686,5.657176865,0.00265729,175.1915294,1.155365374,94.68785207,0.58845145,31.68514814,0.247304096,30.53324972,0.053234507,0.403622598,0.004110016,49.67286442,1.133595289,132.5555951,1.753918668,75.54873796,2.413633631,65.88946329,0.538971578,0,0,125.4722139,3.911677254,210.5235127,1.39438522,28.54774936,0.128880294,0.295920816,0.001521354,0.295920816
4300,518536,2300.43982,85.01955697,0.096743482,6.031368753,0.00279409,176.534003,1.164311065,95.96268124,0.596629449,32.4448556,0.252974483,31.76722175,0.055031832,0.423082076,0.004259009,50.95642546,1.161361699,134.2628331,1.768422927,76.75977139,2.441778792,67.18548092,0.547039447,0,0,126.94143,3.942890082,215.9874805,1.426700409,29.28371101,0.131559678,0.31061493,0.001547412,0.31061493
4400,510291,2333.516543,86.93474758,0.097979292,6.406805123,0.0029291,177.864433,1.173426896,97.16099953,0.604341478,33.19278232,0.258574817,33.03188254,0.056851993,0.44754483,0.004415795,52.16384215,1.186751699,136.09303,1.782582665,77.91698329,2.468155496,68.55338964,0.555345461,0,0,128.4504831,3.975436832,221.5455433,1.459152144,30.07131058,0.134375278,0.323829379,0.00159627,0.323829379
4500,502102,2365.88281,88.62911445,0.099076454,6.825841757,0.003075621,179.0823292,1.181734721,98.3322879,0.612163942,33.90696026,0.263921451,34.22904347,0.058640926,0.467830134,0.004574722,53.42557979,1.21363119,137.8125056,1.796311029,79.02360536,2.494302235,69.82195562,0.562932846,0,0,129.8862011,4.00656366,227.209061,1.492092238,30.767591,0.136869706,0.363387339,0.001660477,0.363387339
4600,494212,2397.866648,90.46952393,0.100300723,7.214292704,0.003210194,180.3439206,1.190172932,99.51466014,0.619968251,34.66894612,0.269668466,35.43947574,0.060418863,0.492434507,0.00484028,54.70380197,1.240275139,139.5512673,1.810323713,80.16598225,2.521316773,71.0665506,0.570571066,0,0,131.336065,4.037686362,233.2629462,1.527952675,31.50795915,0.139451954,0.376377019,0.001712348,0.376377019
4700,486264,2429.337253,92.28942442,0.101351107,7.607313237,0.003344934,181.4967178,1.198038022,100.6816772,0.627356399,35.5582441,0.276160833,36.49693409,0.062045142,0.508163308,0.005026201,55.92635038,1.265468494,141.1857688,1.82297696,81.17568753,2.545609311,72.23103712,0.577838606,0,0,132.6565014,4.066023856,238.8577036,1.560273611,32.15615841,0.141689096,0.395239402,0.001733064,0.395239402
4800,478787,2460.220804,93.97717857,0.102424874,7.975937672,0.003470203,182.5737789,1.205351402,101.7211707,0.634236983,36.28717281,0.28166824,37.57612943,0.063597474,0.521689729,0.005095279,57.12188579,1.29031159,142.7556803,1.835541201,82.25434216,2.570221206,73.39845985,0.58473506,0,0,133.9761264,4.09300027,244.2793713,1.591559117,32.85212219,0.144160534,0.405665298,0.001764256,0.405665298
4900,471661,2490.83301,95.88376752,0.103501837,8.425950657,0.003611234,183.6645925,1.212788651,102.8628787,0.641389938,37.04238366,0.28717977,38.77356629,0.065382351,0.548861207,0.005389018,58.35128383,1.315693452,144.3359324,1.847862873,83.2963468,2.594420277,74.61438059,0.591776986,0,0,135.2052215,4.119167963,249.4846476,1.621645692,33.49991571,0.146475375,0.416172459,0.001797517,0.416172459
5000,464455,2520.948575,97.74734907,0.104601123,8.771533749,0.003725068,184.7181866,1.219870026,104.0053791,0.64862288,37.84566971,0.293254582,40.01777843,0.067139268,0.570453521,0.00560951,59.66638158,1.342882234,145.8955759,1.860051084,84.32810182,2.618735702,75.8056741,0.598752455,0,0,136.4881325,4.144665002,255.0085485,1.654017821,34.12191623,0.148569011,0.434571654,0.001826557,0.434571654
5100,457306,2550.421697,99.38163297,0.105582898,9.141843452,0.003839235,185.7230551,1.226738346,105.1585993,0.656358469,38.57100089,0.298592944,41.38621143,0.069034472,0.577866782,0.005656885,60.84821222,1.367232188,147.3264394,1.871824786,85.36868172,2.643270667,76.97870776,0.605813631,0,0,137.6591939,4.16952962,260.3006062,1.684979966,34.78482571,0.150854272,0.455715419,0.001869754,0.455715419
5200,450543,2579.648309,101.2361663,0.10668749,9.53823162,0.003961321,186.7634626,1.233773845,106.2841389,0.663705944,39.31657577,0.303861422,42.57677421,0.070776454,0.611467777,0.00596808,62.07094349,1.39305258,148.7430326,1.882790371,86.35324475,2.664872119,78.13209852,0.612881096,0,0,138.8500317,4.194317316,265.8654133,1.716412182,35.42118564,0.152943965,0.472958683,0.001899409,0.472958683
5300,443743,2608.255153,102.8636533,0.107709915,9.961371796,0.004085366,187.7334872,1.240458423,107.3311676,0.670296951,40.04472772,0.309221253,43.74779293,0.072465611,0.635030272,0.006169667,63.26774852,1.417904218,150.2263402,1.893627001,87.29894892,2.686121621,79.20417387,0.619142869,0,0,140.0216676,4.217121907,271.071929,1.745434397,36.06581352,0.155102324,0.49262504,0.001934733,0.49262504
5400,437312,2636.503268,104.5505383,0.108655787,10.2737256,0.004186112,188.7290778,1.247185622,108.3748625,0.677115786,40.69982625,0.314116927,44.84463421,0.074068199,0.659237317,0.006318731,64.37272587,1.440319842,151.532337,1.904162253,88.26502521,2.707695205,80.2938354,0.625551928,0,0,141.1540522,4.24011674,276.3167148,1.775485846,36.70134401,0.157181154,0.512204371,0.001960791,0.512204371
5500,430951,2664.218072,106.0806146,0.109559665,10.62719523,0.00429347,189.6823331,1.253908804,109.393793,0.683900929,41.33824829,0.318780886,46.11509507,0.075803301,0.669689438,0.006417952,65.49265536,1.463667114,152.9333969,1.915140893,89.24804519,2.729697442,81.39186338,0.632138996,0,0,142.2175432,4.262645689,281.2699396,1.803737596,37.32706657,0.159303757,0.522425854,0.001979867,0.522425854
5600,424692,2691.570095,107.6383203,0.110472906,10.94820119,0.00438534,190.6369004,1.260435278,110.3624054,0.690059365,42.0427196,0.323877614,47.24150154,0.077397052,0.679883223,0.006574507,66.52689409,1.483931951,154.2539016,1.925511206,90.24165021,2.751018894,82.42968264,0.63810815,0,0,143.3837974,4.285878195,286.4566003,1.832994319,38.08051027,0.161649557,0.571446722,0.00202588,0.571446722
5700,418581,2718.578849,109.2481928,0.111355955,11.2949335,0.004490236,191.5342524,1.266531428,111.3372954,0.696755139,42.71513792,0.328679352,48.39657058,0.079032846,0.690345166,0.006641899,67.70898186,1.508056122,155.6355992,1.935609121,91.18953642,2.77191515,83.52611585,0.6445839,0,0,144.397615,4.306474073,291.6230495,1.86207253,38.65878177,0.16376183,0.613832907,0.002092924,0.613832907
5800,412532,2745.10716,110.7380784,0.112224549,11.61341096,0.004580875,192.4358692,1.272643787,112.3282651,0.703341651,43.41766764,0.333809093,49.45777084,0.080524904,0.729378863,0.006950605,68.86406417,1.531396686,156.8614995,1.945409513,92.15462162,2.793169074,84.55071919,0.650454645,0,0,145.416068,4.328128622,296.6234083,1.890185073,39.34240493,0.165983914,0.628737332,0.002127435,0.628737332
5900,406716,2771.374885,112.3422064,0.113123229,11.90859905,0.004662852,193.2930157,1.278542657,113.2968563,0.709319375,43.96593793,0.337801793,50.63226328,0.082145832,0.743956404,0.007091325,70.07592141,1.556024126,158.1655314,1.955322316,93.10651439,2.814098792,85.57922044,0.65626115,0,0,146.4577279,4.350242934,301.4803487,1.916797173,39.88864901,0.167815241,0.674294005,0.002155275,0.674294005
6000,401088,2797.267264,113.9268248,0.113998863,12.23960399,0.004755317,194.1342142,1.284279738,114.3336542,0.716131557,44.61590143,0.342676951,51.78227451,0.083792263,0.752304343,0.00716843,71.17523447,1.578904969,159.3435938,1.964811366,94.02811968,2.834511444,86.63730526,0.662264005,0,0,147.3677795,4.369727412,306.4016127,1.944684315,40.44921636,0.169724733,0.685335582,0.002168437,0.685335582
6100,395584,2822.779983,115.4695019,0.114831668,12.49212018,0.004823701,194.9375568,1.289693426,115.2228892,0.72210918,45.26538819,0.34732082,52.87568328,0.085348117,0.767831258,0.007315263,72.20455254,1.598758605,160.494434,1.973767336,94.8992373,2.853832871,87.57496615,0.667992492,0,0,148.3397925,4.388323952,311.173795,1.97153749,40.95276514,0.171365348,0.71359789,0.002215929,0.71359789
6200,390279,2848.041826,117.1096361,0.115719809,12.81186724,0.004906725,195.7422073,1.295294593,116.1492845,0.728242695,45.79069571,0.351118776,53.97923555,0.086850261,0.782492618,0.007406622,73.25870593,1.620321131,161.7063171,1.982738096,95.81628856,2.873508552,88.53925835,0.673650747,0,0,149.2060351,4.406424819,315.996394,1.998508673,41.56213208,0.173452124,0.759718881,0.002282359,0.759718881
6300,384904,2872.850593,118.608594,0.116538048,13.0554039,0.004973271,196.5225073,1.300578628,117.0173596,0.734067854,46.43915405,0.35574728,55.1099741,0.088440601,0.802067192,0.007589061,74.29221293,1.640400543,162.8391542,1.991159761,96.70234544,2.892150817,89.50309872,0.679292641,0,0,150.1446127,4.425318515,320.8072656,2.025013453,42.13369365,0.175306548,0.786695008,0.002343802,0.786695008
6400,379741,2897.387892,120.1756247,0.117350866,13.29100612,0.005032672,197.3022595,1.306002978,117.9083189,0.740410727,47.06795295,0.360271929,56.22748769,0.090031277,0.811559489,0.007701452,75.378345,1.661855317,163.8976768,1.999900458,97.52955384,2.910388142,90.51049486,0.685305388,0,0,151.029639,4.443702056,325.7432748,2.051611346,42.75038817,0.177370453,0.807239609,0.002368351,0.807239609
6500,374570,2921.600314,121.7427244,0.118175622,13.56931117,0.005101845,198.1094805,1.311642103,118.7761239,0.746452355,47.56618749,0.363952259,57.32028294,0.091625006,0.814894217,0.00773417,76.42151648,1.683692594,164.9281772,2.008286796,98.33287253,2.928356821,91.53059957,0.691165792,0,0,151.9466175,4.462029249,330.3077708,2.077819336,43.30616071,0.179321734,0.862882624,0.002437155,0.862882624
