Maximum,Membership,Maxed_Value,ER_Value,ER_Utilization,IP_Value,IP_Admits,Primary_Care_Value,Primary_Care_Utilization,Specialist_Value,Specialist_Utilization,Mental_Health_Value,Mental_Health_Utilization,Imaging_Value,Imaging_Utilization,Speech_Value,Specch_Utilization,Occupation_Physicial_Therapy_Value,Occupation_Physicial_Therapy_Utilization,Preventive_Care_Value,Preventive_Care_Utilization,Laboratory_Value,Laboratory_Utilization,X_Rays_Value,X_Ray_Utilization,Skilled _Nursing_Value,Skilled_Nursing_Utilization
1900,"1,402,026",1041.111954,33.84835975,0.050703039,0.323721554,0.000302124,148.3064797,0.9993351,71.08814721,0.455258952,16.24077665,0.139022074,7.149152522,0.016129136,0.103534316,0.001189609,16.19025122,3.91E-01,83.48390221,1.417255934,53.12332484,2.063534847,34.46030143,0.320219842,0,0
2000,"1,358,729",1077.685585,36.48219388,0.053242114,0.388797481,0.000346452,151.0256226,1.016603945,73.47346689,0.470300432,17.06639859,0.145391876,8.217175607,0.018100167,0.121258064,0.001366631,17.46171227,0.420992626,86.10407069,1.44783595,55.12815223,2.117742607,36.54254155,0.334377975,0,0
2100,"1,318,410",1113.285974,39.12635756,0.055656558,0.481238631,0.000407391,153.5311135,1.032791836,75.76831424,0.484553302,17.86222177,0.151616427,9.345472702,0.020160526,0.135935897,0.001511903,18.7556968,0.450561971,88.64872669,1.475954285,57.04406303,2.16859746,38.61921726,0.347876147,0,0
2200,"1,280,281",1147.975136,41.78585181,0.05804732,0.580246753,0.000468781,155.8983906,1.048194391,77.93231976,0.497947049,18.63759305,0.157665214,10.4797671,0.022183903,0.150771156,0.001668057,20.06961778,0.481319106,91.15227637,1.502345565,58.87100149,2.216401472,40.62715305,0.360825164,0,0
2300,"1,244,309",1181.768275,44.41607792,0.06033193,0.706069142,0.000541833,158.1295299,1.062532039,80.01083195,0.510630087,19.39087916,0.163426638,11.65817838,0.024255567,0.169581768,0.001877565,21.34237239,0.510415568,93.69103249,1.526838749,60.6455004,2.26161152,42.58969631,0.373161665,0,0
2400,"1,210,232",1214.683494,46.98668142,0.062477337,0.827652377,0.000611502,160.1833768,1.075770516,81.99140381,0.522901541,20.19042081,0.169474932,12.88097422,0.026331362,0.187634928,0.002058281,22.63361661,0.539871689,96.1861886,1.549936789,62.34091851,2.304850661,44.51434068,0.384995602,0,0
2500,"1,177,942",1246.851418,49.60947128,0.064642862,0.985793932,0.000697037,162.111412,1.088164497,83.90786979,0.535018038,20.92376404,0.175159668,14.13582503,0.028445358,0.203346623,0.002229281,23.95772612,0.569695225,98.65881329,1.572005228,63.95168167,2.345627463,46.43035329,0.396554947,0,0
2600,"1,147,103",1278.210623,52.15727887,0.066610828,1.145455069,0.000783095,163.9358632,1.099963499,85.75066966,0.546578889,21.67435663,0.180891693,15.39386044,0.030515158,0.223281959,0.002448631,25.21455387,0.597771881,101.0542941,1.592398483,65.50657172,2.384447336,48.32604629,0.407663715,0,0
2700,"1,118,050",1308.885097,54.74168274,0.068553723,1.317518144,0.000873202,165.6655116,1.111289498,87.50795636,0.557830808,22.3886838,0.18639545,16.63728837,0.032535469,0.244873078,0.002675431,26.50208857,0.626299237,103.5049276,1.612436785,67.08412292,2.422897964,50.15346497,0.41850533,0,0
2800,"1,090,238",1338.834351,57.27275674,0.070444161,1.521480708,0.000974464,167.3118846,1.121925993,89.22377313,0.568795232,23.07728635,0.191666982,17.94002396,0.034668507,0.262227714,0.002850078,27.80581705,0.655224076,105.9058377,1.630950054,68.56922459,2.458754764,51.92931068,0.428732887,0,0
