Maximum,membership,maxed_value,er_value,er_utilization,ip_value,ip_admits,primary_care_value,primary_care_utilization,specialist_value,specialist_utilization,mental_health_value,mental_health_utilization,imaging_value,imaging_utilization,speech_value,speech_utilization,occupation_physical_therapy_value,occupation_physical_therapy_utilization,preventive_care_value,preventive_care_utilization,laboratory_value,laboratory_utilization,x_rays_value,x_ray_utilization,skilled_nursing_value,skilled_nursing_utilization,generic_value,generic_utilization,preferred_value,preferred_utilization,non_preferred_value,non_preferred_utilization,specialty_value,specialty_utilization
1500,2023311,1003.608797,21.40564425,0.036639729,0.127631364,0.000157585,105.0441716,0.703375856,45.21008388,0.285252908,7.670490574,0.066286184,2.646928992,0.00680086,0.051822655,0.000580214,9.961468852,0.244668842,58.1447751,0.962857769,31.76324867,1.283536941,20.22457647,0.208389405,0,0,62.26047794,2.459389026,40.1923434,0.311850613,10.77722397,0.066735288,0.024848059,0.000371773
1600,1965067,1055.604867,23.71514186,0.039306124,0.162859122,0.000185918,109.0326839,0.729440365,47.54787112,0.299406483,8.263177678,0.071068734,3.239518909,0.008024632,0.061202342,0.000685307,10.95503578,0.26755185,61.13371607,1.005470054,33.77321842,1.346840822,22.00321086,0.222199056,0,0,65.90558702,2.566920373,45.07550372,0.348799382,11.91522323,0.072438815,0.027160353,0.000389645
1700,1909966,1106.319241,26.06731237,0.041905806,0.20772095,0.000220583,112.6519407,0.753059421,49.81357513,0.313003513,8.90209185,0.076174928,3.848775252,0.009213206,0.072725472,0.0008047,11.90312172,0.290051717,63.93532765,1.044828376,35.68086241,1.406000604,23.73506767,0.235260826,0,0,69.37822152,2.667697207,50.05502366,0.386109752,13.0522614,0.0780509,0.031179421,0.000408899
1800,1858377,1155.759378,28.39144317,0.044347592,0.267331126,0.000262336,116.1001606,0.775456665,51.96542144,0.325675186,9.489896704,0.080853144,4.545750493,0.010567043,0.081464659,0.000901476,12.86277522,0.311996355,66.619046,1.081533711,37.56958804,1.463152714,25.46031783,0.24790102,0,0,72.74579978,2.762200678,55.04463096,0.422716733,14.29072502,0.083933671,0.033301528,0.000431293
1900,1809393,1203.986998,30.6751131,0.046638842,0.33225749,0.000306344,119.3356499,0.79670681,54.06962571,0.338327833,10.13411999,0.08609749,5.263335909,0.011958733,0.094432362,0.001051489,13.8224725,0.334469829,69.26122971,1.116657713,39.375969,1.51768719,27.17815402,0.260365463,0,0,76.0504293,2.854507634,60.09682206,0.459699968,15.46174599,0.089469773,0.036190494,0.00045325
2000,1762955,1251.121972,33.00260542,0.048923725,0.396063933,0.000348832,122.3426386,0.816329266,56.10920744,0.350746539,10.74201618,0.090905798,6.038030441,0.013371868,0.107343593,0.001193116,14.86033256,0.357951639,71.77450807,1.149379876,41.13314711,1.569601362,28.90700762,0.272705205,0,0,79.24414258,2.941279507,65.14565892,0.496299191,16.67222951,0.09495195,0.038580684,0.000484492
2100,1718565,1297.195853,35.35823265,0.051155551,0.482063566,0.000404373,125.2346225,0.835253678,58.09406233,0.362955031,11.3610417,0.095851026,6.848080991,0.014859786,0.121563317,0.001339954,15.90189724,0.381951713,74.33503766,1.181214616,42.85847016,1.620981276,30.60310144,0.284567944,0,0,82.28312401,3.020631025,70.378072,0.534039444,17.85424051,0.100243843,0.042309342,0.000510589
2200,1676003,1342.149293,37.61064835,0.053217698,0.575539039,0.000462346,127.9305252,0.853073345,60.01662182,0.374511799,11.98319534,0.100811753,7.706572311,0.016398225,0.134857925,0.001474101,16.9536416,0.406420478,76.79513882,1.210850022,44.5277732,1.669432561,32.2584229,0.295996848,0,0,85.224208,3.098193018,75.53031499,0.571262733,19.03562431,0.10551963,0.048064461,0.000537538
2300,1635684,1386.167049,39.93223222,0.05527549,0.70521258,0.000538691,130.500972,0.870117353,61.93519346,0.386205929,12.62849802,0.105867395,8.601689491,0.017985101,0.149824342,0.001644031,18.00917327,0.430748331,79.25607823,1.239552766,46.10298293,1.715304451,33.87371508,0.307013379,0,0,88.10833463,3.172382437,80.86116109,0.608946781,20.23811836,0.110766707,0.054478487,0.000552827
2400,1596486,1429.133327,42.13652811,0.057219042,0.831277016,0.000609476,132.8984351,0.885933986,63.6439177,0.396620816,13.25838115,0.110835812,9.50388257,0.01953272,0.16900995,0.001843393,19.05934771,0.454568515,81.68707451,1.266368581,47.66322502,1.758919671,35.45922178,0.317400355,0,0,90.81516418,3.240250981,86.15464282,0.646289892,21.44871069,0.115872972,0.059773448,0.000554686
2500,1559503,1471.246794,44.41590472,0.059117969,0.997066299,0.000698471,135.2218718,0.901359373,65.3742387,0.407214733,13.87120065,0.115691322,10.44941242,0.021116504,0.183779712,0.001992715,20.13634837,0.478912342,84.11452946,1.292508925,49.21410743,1.802036437,37.06978376,0.327935693,0,0,93.5390103,3.307059179,91.51501995,0.683873856,22.61749584,0.120716622,0.069236006,0.000599965
2600,1523181,1512.444597,46.65486412,0.060928422,1.149704775,0.000780137,137.3974021,0.915731047,67.05885659,0.417457996,14.49080518,0.120424403,11.38994525,0.022695699,0.200459231,0.002190972,21.1386262,0.50166246,86.40448952,1.31633617,50.65497812,1.841947203,38.64880737,0.338057615,0,0,96.05915537,3.369496023,96.88175062,0.720889989,23.76327938,0.125634104,0.071789214,0.000609184
2700,1489157,1552.799598,48.89100282,0.062712014,1.318832716,0.000867372,139.5380009,0.929957169,68.65709538,0.427266673,15.10922255,0.125188755,12.31586082,0.024218405,0.21782111,0.002358575,22.18730449,0.525098476,88.69594653,1.340034422,52.09377853,1.882214819,40.13526701,0.347575326,0,0,98.50788315,3.428776769,102.2775807,0.758459814,24.98423872,0.130496481,0.080627742,0.000642006
2800,1456056,1592.374781,51.16619094,0.064506945,1.516238853,0.000964816,141.5596477,0.943356882,70.22437538,0.436774191,15.67807326,0.129615829,13.31745744,0.025903232,0.236291179,0.002542159,23.25651048,0.548653874,90.92194738,1.36212976,53.49625516,1.92088984,41.59232458,0.357005797,0,0,100.8633832,3.484329427,107.634346,0.794946742,26.05685026,0.134827016,0.084952642,0.000664103
