Maximum,membership,maxed_value,er_value,er_utilization,ip_value,ip_admits,primary_care_value,primary_care_utilization,specialist_value,specialist_utilization,mental_health_value,mental_health_utilization,imaging_value,imaging_utilization,speech_value,speech_utilization,occupation_physical_therapy_value,occupation_physical_therapy_utilization,preventive_care_value,preventive_care_utilization,laboratory_value,laboratory_utilization,x_rays_value,x_ray_utilization,skilled_nursing_value,skilled_nursing_utilization,generic_value,generic_utilization,preferred_value,preferred_utilization,non_preferred_value,non_preferred_utilization,specialty_value,specialty_utilization
1300,230428,874.8886161,14.50657615,0.026714973,0.088007177,0.000118007,101.5467509,0.688571889,31.54062864,0.19929047,6.098165146,0.054891548,1.591671256,0.004399823,0.040904806,0.000659863,6.168468643,0.15105631,50.4993376,0.846623734,27.5967271,1.177941119,15.961102,0.175055458,0,0,64.36347999,2.578138973,31.86171846,0.254873666,11.4538402,0.078553176,0.023507723,0.000297718
1400,222940,927.5047487,16.45008116,0.029071118,0.120558831,0.000144223,106.5847591,0.721098185,33.64289187,0.211706278,6.720903162,0.060217748,1.963092214,0.005213606,0.049534101,0.000759836,6.906885237,0.168440429,53.99785009,0.89741123,29.78502958,1.254943495,17.72878865,0.189476732,0,0,68.97466354,2.723904899,36.06246332,0.287752957,12.8194944,0.086390136,0.023346581,0.000294858
1500,215916,978.5483445,18.34120155,0.031240424,0.155285387,0.000171394,111.2326891,0.750461887,35.63120577,0.223575769,7.267413667,0.064747591,2.433120222,0.006283381,0.063429461,0.000919664,7.656835805,0.184951259,56.94958743,0.940879994,31.77511008,1.324185066,19.55258604,0.203552974,0,0,73.2041956,2.85041462,40.46546483,0.321885177,14.27170917,0.094245701,0.023606863,0.00031836
1600,209273,1028.26409,20.33939897,0.033494034,0.210465317,0.000214815,115.4855671,0.777723893,37.51674353,0.235322586,7.790732341,0.068711022,2.943678254,0.007347326,0.073155286,0.001018196,8.387478683,0.202638325,59.90774597,0.982607168,33.77043001,1.390353377,21.24091604,0.216639023,0,0,77.4115916,2.975998044,45.66488836,0.363162376,15.6474149,0.101579507,0.031950937,0.000331979
1700,202950,1076.707725,22.44195542,0.03571703,0.261662127,0.000249166,119.3964928,0.802846253,39.40659887,0.246190269,8.279688349,0.072992876,3.584256987,0.008441515,0.073756076,0.001011769,9.184026699,0.220226525,62.59717965,1.021519576,35.64584061,1.450976058,22.8218509,0.228594219,0,0,81.51912437,3.093109289,50.38010762,0.399667693,17.09228701,0.109948184,0.034150854,0.000354719
1800,197096,1123.718002,24.3584829,0.037689904,0.320897949,0.000297892,122.9128131,0.82563602,41.218809,0.257448635,8.774739797,0.076886106,4.270758607,0.009669096,0.080820857,0.001087791,9.997699092,0.239869305,65.20853267,1.057559023,37.34179737,1.50615531,24.3153167,0.239990074,0,0,85.51800819,3.203005869,55.6362143,0.440587474,18.5410032,0.117507538,0.033516518,0.000354931
1900,191614,1169.651698,26.43762208,0.039729072,0.408165257,0.000354715,126.2858551,0.848549012,43.04258569,0.268365592,9.361873575,0.08163067,4.914752665,0.010945661,0.083964725,0.001096666,10.69739996,0.255387501,67.84674116,1.092542572,39.07866229,1.56089975,25.95628342,0.25172557,0,0,89.59012734,3.312649366,60.67308647,0.480330592,20.14136544,0.125835169,0.035449614,0.000391438
2000,186194,1214.379451,28.45687975,0.041614372,0.472224939,0.000398134,129.4233509,0.869221386,44.76908664,0.279143642,9.823195226,0.085338599,5.497876661,0.012076224,0.092357108,0.001263523,11.4929696,0.274586072,70.27155295,1.123533842,40.68445829,1.611022957,27.59284229,0.262749842,0,0,93.01262427,3.405681776,65.65070803,0.517186712,21.65967827,0.133687951,0.035539548,0.000396777
2100,181296,1258.102875,30.57035668,0.043645798,0.585415269,0.000462702,132.6157087,0.890307007,46.31466119,0.288585632,10.35604832,0.089693284,6.144188561,0.013254198,0.105978871,0.001365562,12.26773761,0.291462387,72.45992021,1.153555622,42.29217987,1.662665954,29.18595399,0.273705878,0,0,96.57434368,3.497990097,70.62503398,0.554209412,23.14768685,0.141278399,0.03494496,0.000393101
2200,176551,1300.759075,32.64236497,0.045558817,0.726375112,0.000548289,135.520306,0.909253503,47.95888687,0.298461833,10.92187679,0.094432474,6.899762417,0.014715357,0.120305475,0.001509643,13.07016795,0.309222829,74.77993872,1.182405211,43.98556341,1.71093707,30.67349349,0.284198199,0,0,99.91103395,3.584982195,75.52762426,0.591657444,24.68521829,0.148541304,0.036697662,0.000400379
2300,171966,1342.203286,34.48829623,0.047092909,0.870267033,0.000632071,138.342722,0.927932897,49.6025123,0.308849672,11.4800703,0.098667542,7.622549374,0.01609594,0.127514694,0.001619319,13.98499747,0.329239295,77.19213711,1.209994765,45.66074282,1.758951791,32.15716146,0.294106263,0,0,103.1134827,3.66421024,80.60547716,0.631287555,26.10164148,0.155163446,0.040918988,0.000439257
2400,167626,1382.790916,36.46893198,0.048662377,1.028744257,0.000717553,141.0521275,0.946097792,51.09095676,0.317789522,12.08592914,0.103828448,8.428466993,0.017546116,0.136117359,0.001709801,14.59498843,0.342190259,79.54207326,1.236278552,47.26318424,1.807305458,33.79934297,0.304812987,0,0,106.339505,3.746842655,85.72206123,0.670315077,27.56083292,0.161916633,0.046665674,0.000486074
2500,163367,1422.430471,38.4208654,0.050306677,1.187957936,0.000803027,143.4844829,0.961579153,52.59646205,0.326423597,12.48919267,0.107135483,9.236979122,0.018912404,0.155867741,0.001932249,15.30129648,0.35744241,81.7279454,1.26045151,48.69148875,1.849720138,35.27382619,0.31466003,0,0,109.1035613,3.810497418,90.97964504,0.709699052,29.01251345,0.168589617,0.045991591,0.000478868
2600,159474,1461.188299,40.36029248,0.051945944,1.363375942,0.000895778,145.9701428,0.977434665,53.87598884,0.334557998,13.02332543,0.111379675,10.03762857,0.020361307,0.170966346,0.002089159,16.27577216,0.377889902,83.93797248,1.283482948,50.05324122,1.888495677,36.68465291,0.323669892,0,0,111.9955714,3.879091271,96.50816621,0.749710001,30.5072529,0.175470274,0.048895635,0.000494106
2700,155614,1499.202205,42.41498393,0.053585226,1.56527697,0.000994287,148.2671441,0.992333931,55.16462319,0.342287132,13.51596921,0.115241747,10.85098624,0.02164878,0.175872143,0.002131134,16.86040999,0.390134338,86.01850794,1.304356515,51.42878379,1.929135076,38.03476493,0.332185408,0,0,114.7233537,3.944113965,102.007069,0.789780181,32.04800818,0.18282794,0.050627046,0.000494262
2800,152021,1536.300874,44.35196633,0.055037918,1.792869504,0.001200846,150.4432837,1.006651474,56.53960997,0.350823992,14.10746941,0.119956663,11.73545584,0.023155086,0.185729735,0.002213558,17.59704281,0.405974978,87.92114446,1.324911501,52.78078104,1.967470754,39.52490986,0.341328409,0,0,117.4569108,4.005647253,107.4543225,0.828953247,33.67573137,0.190331629,0.059626706,0.000524741
