Maximum,membership,maxed_value,er_value,er_utilization,ip_value,ip_admits,primary_care_value,primary_care_utilization,specialist_value,specialist_utilization,mental_health_value,mental_health_utilization,imaging_value,imaging_utilization,speech_value,speech_utilization,occupation_physical_therapy_value,occupation_physical_therapy_utilization,preventive_care_value,preventive_care_utilization,laboratory_value,laboratory_utilization,x_rays_value,x_ray_utilization,skilled_nursing_value,skilled_nursing_utilization,generic_value,generic_utilization,preferred_value,preferred_utilization,non_preferred_value,non_preferred_utilization,specialty_value,specialty_utilization
1500,152231,935.2618475,16.46071772,0.026300494,0.167299702,0.000180756,102.2033292,0.676470216,37.49960889,0.233454703,7.441848262,0.067607818,2.205086071,0.00567364,0.067695093,0.000788931,7.746579666,0.194294751,60.55058586,1.016326539,32.88810434,1.436586156,19.0974285,0.192569363,0,0,64.8635559,2.662483781,38.73274145,0.322697016,11.98570942,0.089056508,0.020067081,0.000302493
1600,147146,981.5669263,18.44747367,0.028499219,0.232666281,0.000230464,105.733938,0.699581086,39.39560132,0.244424635,8.014557801,0.072417716,2.764630577,0.006741725,0.074669462,0.000868222,8.437413591,0.210659042,63.31207486,1.05682198,34.83856152,1.500880219,20.63824739,0.204358549,0,0,68.2590163,2.768517154,43.13200515,0.358715456,13.13069629,0.095715511,0.019562843,0.000293483
1700,142262,1026.657582,20.57201241,0.030734122,0.306947352,0.000291591,108.9144569,0.720156307,41.21351164,0.255492749,8.517170525,0.076480972,3.273143746,0.007770361,0.098902088,0.001114281,9.114041126,0.225258698,66.23957594,1.096364734,36.68673044,1.562714442,22.26748147,0.216063264,0,0,71.52769407,2.863532287,47.56764064,0.394226301,14.21611831,0.101623598,0.019398352,0.000287049
1800,137691,1070.275541,22.44383629,0.032660178,0.38301041,0.00034825,111.9513588,0.739716554,43.07902341,0.266606724,9.133508203,0.081603154,3.861730701,0.008826762,0.107612703,0.001184248,9.893505923,0.244181929,68.93088786,1.132105493,38.48232219,1.619525165,23.88338645,0.22791809,0,0,74.84053267,2.956003419,51.83976148,0.428117506,15.32083721,0.107310196,0.025634597,0.000312178
1900,133435,1112.818122,24.44533565,0.034617891,0.473969783,0.000412391,115.0789738,0.760493969,44.78686055,0.27664906,9.693785652,0.086054116,4.329847714,0.009615452,0.121769483,0.001323414,10.76166105,0.262674877,71.58550779,1.164918915,40.21614708,1.676198805,25.43955849,0.23902402,0,0,77.70642315,3.039840662,56.52617287,0.464400724,16.45109222,0.11370775,0.025093179,0.000304144
2000,129386,1154.158534,26.36831828,0.03637145,0.569255625,0.000470566,117.7685667,0.777557323,46.41409465,0.285933295,10.32316596,0.091606928,5.050151375,0.010879352,0.127875432,0.001388234,11.35785765,0.277607961,74.11889856,1.196015595,41.9297817,1.727781574,26.85219622,0.249043446,0,0,80.76288421,3.126073672,60.98181173,0.499097595,17.72291961,0.120656338,0.025309229,0.000302219
2100,125574,1194.422329,28.27117606,0.038110073,0.663798687,0.000539421,120.2791444,0.79401755,48.02618054,0.295402995,10.74967449,0.094882069,5.811265322,0.012185853,0.151337746,0.00162451,12.13713948,0.294144406,76.62251975,1.226092856,43.4817384,1.77498014,28.47626235,0.260328329,0,0,83.72623606,3.208813149,65.55359513,0.533145466,18.87674462,0.126617644,0.024859788,0.000295736
2200,121976,1233.826892,30.34926546,0.039843556,0.752802121,0.000594681,122.8516496,0.810510817,49.6221527,0.304883746,11.3029054,0.099216758,6.502338368,0.013267267,0.161657614,0.001743746,12.82605708,0.309633536,78.97106473,1.25313548,45.06473953,1.823156561,30.14230523,0.27050717,0,0,86.36629633,3.279830347,70.40392796,0.570341668,19.94338656,0.132294833,0.027353927,0.000295406
2300,118562,1272.077016,32.2147552,0.041426619,0.941257096,0.000701515,124.9189018,0.823632741,51.09528691,0.314144311,11.84810871,0.103523994,7.334321107,0.014672411,0.171121526,0.001806472,13.54690008,0.324617616,81.12271486,1.276703199,46.53319237,1.865822691,31.61663322,0.279861516,0,0,89.19617662,3.354856386,74.92500001,0.603302129,21.01308391,0.137896662,0.026961908,0.000290149
2400,115384,1309.544238,34.19152582,0.042988259,1.067119937,0.000775851,126.963062,0.836928813,52.49792684,0.32263409,12.4461592,0.108260514,8.05891813,0.015830493,0.182666963,0.001893115,14.17287244,0.337487965,83.38524945,1.301632262,47.99737274,1.909984542,33.02919657,0.289232964,0,0,91.81562495,3.424024917,79.26958845,0.636638256,22.0418463,0.142942939,0.026586164,0.000285197
2500,112334,1345.967957,35.97015138,0.044463317,1.23422487,0.000866099,128.7950058,0.848976979,53.74534372,0.330589469,12.99237905,0.112702703,8.739612248,0.016957103,0.199538638,0.002052542,14.96228158,0.356052124,85.46108005,1.323353954,49.37784532,1.948069025,34.25841318,0.297145791,0,0,94.33947115,3.489311446,83.76721789,0.669434656,23.02488788,0.147890519,0.026253445,0.000280653
2600,109504,1381.569101,37.72402258,0.04588036,1.453838108,0.000970446,130.5915723,0.861011132,55.04782705,0.338512995,13.54392626,0.117213713,9.552369637,0.018110233,0.225351124,0.00224038,15.72779113,0.372679779,87.36842198,1.344202866,50.7297675,1.98616733,35.71020957,0.306027485,0,0,96.80796415,3.552059069,88.02035186,0.702151151,24.07239053,0.152782606,0.033740196,0.000391806
