Maximum,Membership,Maxed_Value,ER_Value,ER_Utilization,IP_Value,IP_Admits,Primary_Care_Value,Primary_Care_Utilization,Specialist_Value,Specialist_Utilization,Mental_Health_Value,Mental_Health_Utilization,Imaging_Value,Imaging_Utilization,Speech_Value,Specch_Utilization,Occupation_Physicial_Therapy_Value,Occupation_Physicial_Therapy_Utilization,Preventive_Care_Value,Preventive_Care_Utilization,Laboratory_Value,Laboratory_Utilization,X_Rays_Value,X_Ray_Utilization,Skilled _Nursing_Value,Skilled_Nursing_Utilization
1900,653352,1143.089158,37.54280083,0.059029254,0.251276236,0.000241338,156.6667279,1.040845394,73.34568085,0.46516609,19.49759665,0.162447794,7.465431182,0.01662455,0.089688158,0.000927254,20.76084698,0.501133615,93.03282011,1.521055736,55.31108033,2.063519363,36.86767577,0.356507401,0,0
2000,635562,1184.475114,40.16332705,0.061756511,0.322544001,0.00029014,159.7475574,1.060774916,76.03328003,0.482043822,20.59526371,0.170804944,8.587526532,0.018686305,0.099135492,0.001033521,22.43653554,0.539829765,96.13566862,1.557797029,57.56476335,2.124668276,39.26180207,0.37344203,0,0
2100,618584,1224.911462,42.95502267,0.064558476,0.415132649,0.000352809,162.6902123,1.07986557,78.508224,0.497724077,21.70608155,0.179344418,9.82478849,0.020932534,0.113416139,0.001164533,24.10632043,0.577689082,98.9258815,1.590326788,59.71072167,2.181809914,41.59605403,0.389371311,0,0
2200,602554,1264.228194,45.6468155,0.067228788,0.529479324,0.000422323,165.4496564,1.098061318,81.02549155,0.513873932,22.88150066,0.188201225,11.04457277,0.023095378,0.129043749,0.001319756,25.78549123,0.616242001,101.9098791,1.621079257,61.80402547,2.23556879,43.81583907,0.404766616,0,0
2300,587125,1302.499939,48.25534949,0.069764832,0.614293609,0.000470881,167.9807892,1.114567514,83.34293397,0.528115145,24.02641148,0.196830266,12.3521249,0.025354842,0.1484077,0.001488518,27.49556365,0.654835206,104.6866843,1.649110434,63.68164291,2.284482477,46.07474607,0.419650456,0,0
2400,572813,1339.870945,50.89128654,0.072199437,0.748703172,0.000549009,170.3345749,1.130351884,85.59762378,0.542026295,25.07621926,0.204925863,13.69245332,0.027693853,0.162127158,0.001633298,29.13032435,0.691821332,107.4598661,1.676051333,65.58334016,2.332134353,48.23372939,0.433718672,0,0
2500,558958,1376.329394,53.5015565,0.074514356,0.886446226,0.000623458,172.6329226,1.145904278,87.73662674,0.555871258,26.11457816,0.212969996,14.99589242,0.029944499,0.177286763,0.001791726,30.89285031,0.732927087,110.3512984,1.702384413,67.44981579,2.378849431,50.30735205,0.447402011,0,0
2600,545522,1412.038061,56.25735013,0.076885441,1.042327206,0.000706172,174.8323454,1.16041563,89.81653168,0.569315304,27.30997065,0.221816533,16.34340734,0.032203465,0.201681439,0.002066856,32.64321552,0.772894493,113.2859034,1.727146793,69.28212885,2.423185999,52.36871865,0.460798732,0,0
2700,532507,1446.834788,58.90685126,0.079113834,1.239863309,0.000807052,176.7728597,1.173192044,91.84436479,0.5823501,28.52644987,0.230821733,17.75298476,0.034583172,0.213976479,0.002162079,34.31343373,0.810132687,116.1555604,1.750390083,71.01445674,2.464840759,54.36894605,0.473224416,0,0
2800,520197,1480.759296,61.42963858,0.081176307,1.456329948,0.000913814,178.6006316,1.185410386,93.73205996,0.594661878,29.6144423,0.239000738,19.17450041,0.036880377,0.221423197,0.002259663,35.95697423,0.847078435,118.8143538,1.771724313,72.67994413,2.504626486,56.3469744,0.485384378,0,0
2900,508660,1514.005649,64.02684842,0.083295069,1.664257321,0.001007892,180.4936407,1.197866423,95.5839339,0.607021738,30.691259,0.246976267,20.60937877,0.039211699,0.233715938,0.002540766,37.61255134,0.883264722,121.4361987,1.792635873,74.30858584,2.544381348,58.20149516,0.497084982,0,0
3000,497491,1546.502925,66.57856031,0.085328673,1.911981414,0.001127906,182.3041628,1.209994602,97.40593036,0.61937271,31.66966815,0.254190304,22.09482424,0.041643976,0.257574621,0.002777613,39.32190878,0.921594698,124.0750806,1.812909523,75.9215777,2.582993128,60.139764,0.509415809,0,0
3100,486691,1578.344309,69.17475752,0.087296679,2.129994323,0.001225519,184.0452969,1.221672544,99.19706721,0.631253499,32.73710029,0.262375835,23.59401995,0.043997963,0.28176809,0.003043504,40.99445115,0.958948582,126.7952533,1.833225047,77.51125314,2.621411238,62.0031434,0.521129666,0,0
3200,476108,1609.304831,71.49569788,0.089024391,2.439047009,0.001363996,185.6271467,1.232203638,100.8820735,0.64294588,33.76060955,0.269774304,25.01020303,0.04629463,0.292632256,0.003161313,42.60618028,0.994204321,129.3668735,1.852120122,79.03728004,2.657113519,63.77907544,0.532213199,0,0
3300,466149,1639.741392,73.95476773,0.090831017,2.713259715,0.00148204,187.1808857,1.242509131,102.604852,0.654127748,34.74813729,0.277275759,26.52100343,0.048570646,0.307760762,0.003316741,44.24346903,1.029578201,131.818416,1.870362518,80.53016654,2.691723084,65.66369911,0.543351937,0,0
3400,456401,1669.489469,76.31821065,0.092539767,3.008807427,0.001611033,188.5739056,1.251694172,104.2083615,0.664899759,35.68885894,0.284365109,28.01072398,0.050837768,0.324343628,0.003466193,45.91089318,1.065334526,134.1922546,1.886643194,81.99854327,2.723324221,67.31984611,0.553504627,0,0
3500,447143,1698.487957,78.4617828,0.094093411,3.341885658,0.001752738,189.8967367,1.260878577,105.8115324,0.67538569,36.74288193,0.291861152,29.54486917,0.053196169,0.341183445,0.003601899,47.49183406,1.099057473,136.4579318,1.902129235,83.34776212,2.753623145,68.96535571,0.563074803,0,0
3600,438232,1727.06979,80.79579447,0.095687635,3.603916909,0.001866364,191.2565287,1.270124861,107.3486357,0.685598894,37.75893707,0.2999242,31.13880559,0.055570714,0.357281059,0.003753499,48.9795479,1.131195998,138.674241,1.917986962,84.74397001,2.784549203,70.72714309,0.573225805,0,0
3700,429513,1754.914934,82.87810814,0.097216956,3.905098398,0.001995939,192.5445002,1.278908907,108.8386317,0.695311925,38.72857314,0.307330668,32.62433146,0.057835314,0.376155156,0.003924926,50.59162652,1.165696915,140.9309672,1.932898243,86.11609043,2.814073632,72.29101267,0.582638788,0,0
3800,421290,1782.345042,85.09065649,0.09870342,4.226022808,0.002127765,193.779002,1.287162697,110.3189368,0.704966766,39.68196084,0.314198147,34.2102921,0.060161145,0.387942738,0.004026149,52.20986368,1.200474989,143.0982438,1.947575126,87.495493,2.843087908,73.91652897,0.591820986,0,0
3900,413172,1809.281876,87.3233405,0.100153567,4.576277967,0.002269222,194.9524655,1.295069292,111.7586604,0.714280996,40.60851692,0.320958704,35.67432177,0.062343931,0.407182006,0.004214224,53.75324245,1.233051433,145.2284774,1.961685355,88.79678411,2.871787463,75.39323848,0.600675958,0,0
4000,405398,1835.675492,89.47978826,0.101560874,5.011920882,0.002428583,196.0712775,1.302856329,113.0430784,0.722643978,41.51619824,0.327578365,37.12647375,0.064558669,0.423917875,0.004348134,55.27666015,1.264966766,147.1732467,1.974593044,90.04173421,2.898621527,76.88372368,0.609384424,0,0
4100,397971,1861.611998,91.66050155,0.102955658,5.344324245,0.002552432,197.1669373,1.310336761,114.4368813,0.731672382,42.55967724,0.335170058,38.69155515,0.066891523,0.445216891,0.004512417,56.77715174,1.296002387,149.1397555,1.987592371,91.31968752,2.926900692,78.39947117,0.618364133,0,0
4200,390575,1887.118876,93.87136686,0.104338506,5.747687459,0.002703682,198.2221941,1.317547249,115.775506,0.740816489,43.39802467,0.341408573,40.16710218,0.069030585,0.456557304,0.004617858,58.19444522,1.326366362,150.9848582,1.999619401,92.56443002,2.95350981,79.88773564,0.627143739,0,0
4300,383551,1912.119667,95.99523145,0.105635924,6.134051178,0.002841575,199.2290869,1.324220968,117.0813799,0.749179941,44.36519928,0.348302425,41.74625952,0.071312058,0.478286318,0.004766107,59.6040244,1.355829023,152.8760268,2.011622715,93.79978703,2.978950745,81.30679389,0.635380956,0,0
4400,376625,1936.575632,97.97673777,0.106860176,6.531682334,0.002985147,200.2172262,1.330909886,118.2583343,0.756681046,45.31115118,0.355145534,43.25739781,0.073489549,0.502374889,0.004980094,60.94002208,1.383866247,154.5786465,2.022613004,94.99816461,3.003810026,82.6981591,0.643404836,0,0
