Maximum,Membership,Maxed_Value,ER_Value,ER_Utilization,IP_Value,IP_Admits,Primary_Care_Value,Primary_Care_Utilization,Specialist_Value,Specialist_Utilization,Mental_Health_Value,Mental_Health_Utilization,Imaging_Value,Imaging_Utilization,Speech_Value,Specch_Utilization,Occupation_Physicial_Therapy_Value,Occupation_Physicial_Therapy_Utilization,Preventive_Care_Value,Preventive_Care_Utilization,Laboratory_Value,Laboratory_Utilization,X_Rays_Value,X_Ray_Utilization,Skilled _Nursing_Value,Skilled_Nursing_Utilization,
1900,"140,591",982.2816777,29.70392018,0.043648307,0.398065882,0.000344085,159.3196958,1.074734234,58.79196285,0.377115936,15.48957871,0.135742785,6.634251609,0.01486872,0.10003462,0.00134519,12.84749187,0.308021548,82.20150164,1.396641427,53.44214961,2.146354859,33.52087796,0.312992268,15.54460359,0,0
2000,"136,017",1015.3979,32.11104272,0.045941967,0.475015002,0.000396635,162.3265659,1.093064242,60.86283554,0.389771943,16.152582,0.141001375,7.698374457,0.016901527,0.107832963,0.001408505,13.86332027,0.331213057,84.59050387,1.425335922,55.35057223,2.199769295,35.60906268,0.326338002,16.51074809,0,0
2100,"131,693",1047.478891,34.39811724,0.047971789,0.590618686,0.000464292,165.0721797,1.110425977,62.76085764,0.401206398,16.79390047,0.145847702,8.638122549,0.018618499,0.13643926,0.001665133,14.72701181,0.350682587,86.92372232,1.451642305,57.10582781,2.250921213,37.60948623,0.339023003,17.49112024,0,0
2200,"127,663",1078.602206,36.57825078,0.049875795,0.758164736,0.000567015,167.5137188,1.125987661,64.59668452,0.412919944,17.48546876,0.151218761,9.67987658,0.020531922,0.143457532,0.001732218,15.6533871,0.37089737,89.2714532,1.475411774,58.87817322,2.299046477,39.51113024,0.351200253,18.43958462,0,0
2300,"123,886",1108.928259,38.81090815,0.051682252,0.886675073,0.000640622,169.7546975,1.139903625,66.38874901,0.423599083,18.13045568,0.156489736,10.68681777,0.022352559,0.159839773,0.001927633,16.62542243,0.392105667,91.70947109,1.49814818,60.59931015,2.344690942,41.4426156,0.363299993,19.36227088,0,0
2400,"120,270",1138.55994,41.16166542,0.053648404,1.046605074,0.000728735,171.9078668,1.154020757,68.03698782,0.434074251,18.89109112,0.162657956,11.7466254,0.024176397,0.172297413,0.002102518,17.52799149,0.411176012,93.99807391,1.518736285,62.15795147,2.385767622,43.2796992,0.374292805,20.27735416,0,0
2500,"116,863",1167.420965,43.4866301,0.055535984,1.197043967,0.000809861,173.8823763,1.166484622,69.56812617,0.44322651,19.4996974,0.167488247,12.84609496,0.025988108,0.17878756,0.002165375,18.4943378,0.432694318,96.40502641,1.539319662,63.75769819,2.426513647,45.07857952,0.384617379,21.14765415,0,0
2600,"113,659",1195.509179,45.70804647,0.057218948,1.357283467,0.000894343,175.6193472,1.177530242,71.01415125,0.452259821,20.16085201,0.172496643,13.87066364,0.027588865,0.1958131,0.002361261,19.43026023,0.452530893,98.56256413,1.557677244,65.19892499,2.46219341,46.79040772,0.394578704,21.95867359,0,0
2700,"110,776",1222.765302,47.70549242,0.058732035,1.594117754,0.001384719,177.402055,1.188952729,72.54600203,0.46137886,20.8042261,0.177351025,15.03919935,0.029533487,0.202804969,0.002436268,20.33424907,0.471488252,100.7703843,1.576378665,66.70187368,2.499883467,48.55981714,0.404669399,22.79193694,0,0
2800,"107,884",1249.723463,50.10848469,0.060394485,1.812912564,0.001488615,178.9991632,1.199642439,73.8874762,0.470354752,21.41805514,0.182255153,16.23077061,0.031519415,0.217320315,0.002612635,21.2331435,0.490675191,102.6542602,1.592168532,68.08209389,2.533840179,50.17291566,0.41372556,23.58171878,0,0
2900,"105,220",1276.119271,52.53998801,0.062017671,2.027294017,0.001588353,180.5539172,1.209219083,75.1961956,0.478563157,21.99058356,0.186746092,17.33644582,0.03328442,0.22650349,0.002710826,22.16694282,0.51001187,104.5674095,1.607379599,69.36061329,2.564721121,51.76332006,0.422924733,24.38362273,0,0
3000,"102,700",1301.840933,54.83548648,0.063468371,2.215303425,0.001678512,181.9662524,1.218208846,76.57937551,0.487663217,22.50674511,0.190570763,18.5749994,0.035085448,0.233344216,0.002803866,23.06583602,0.530189958,106.7117597,1.621769032,70.65621085,2.594960923,53.25953675,0.431795533,25.04890657,0,0
3100,"100,252",1327.044148,57.17752781,0.065035298,2.416119848,0.001768062,183.3665786,1.226878427,77.88100239,0.495347704,22.95974823,0.193876363,20.02030925,0.037229401,0.259112124,0.003066337,24.00553554,0.550010929,108.7387295,1.637166191,71.94014705,2.626850598,54.75630318,0.440120134,25.77815044,0,0
3200,"97,887",1351.613372,59.3943713,0.066457176,2.575936802,0.001843611,184.6696578,1.235125459,79.1175066,0.503129784,23.4890279,0.197580418,21.43125931,0.039198318,0.272992183,0.003162115,24.85198305,0.567315998,110.790658,1.650878751,73.22210433,2.656738672,56.23773593,0.448290653,26.51937178,0,0
3300,"95,591",1375.577212,61.46911463,0.067771475,2.767899462,0.001937079,185.89696,1.242981313,80.23880037,0.51047087,24.03789014,0.201740885,22.59116822,0.040899428,0.29116813,0.003360115,25.83071473,0.587735039,112.6850514,1.664145863,74.32023541,2.682658944,57.65014107,0.455995943,27.23193742,0,0
3400,"93,535",1399.275465,63.78754115,0.069202187,2.955416955,0.002023635,187.1860155,1.251287058,81.32241763,0.517510631,24.59884631,0.206000463,23.69104068,0.042505361,0.312459412,0.003570751,26.59937257,0.604071817,114.4148526,1.67530866,75.53765312,2.709207246,59.06260369,0.463443484,27.86539928,0,0
